study_name,comments,part_id,language,item,known
CogMisp24,NA,P40,fr,chocolat,0
CogMisp24,NA,P40,fr,biscuit,0
CogMisp24,NA,P40,fr,pied,0
CogMisp24,NA,P40,fr,girafe,0
CogMisp24,NA,P40,fr,singe,0
CogMisp24,NA,P40,fr,bouche,0
CogMisp24,NA,P40,fr,pizza,0
CogMisp24,NA,P40,fr,table,0
CogMisp24,NA,P40,fr,fenetre,0
CogMisp24,NA,P70,en,banana,1
CogMisp24,NA,P70,en,bowl,1
CogMisp24,NA,P70,en,butterfly,1
CogMisp24,NA,P70,en,chocolate,1
CogMisp24,NA,P70,en,cookie,1
CogMisp24,NA,P70,en,foot,1
CogMisp24,NA,P70,en,giraffe,1
CogMisp24,NA,P70,en,monkey,1
CogMisp24,NA,P70,en,mouth,1
CogMisp24,NA,P70,en,pizza,1
CogMisp24,NA,P70,en,table,1
CogMisp24,NA,P70,en,window,1
CogMisp24,NA,P70,fr,banane,1
CogMisp24,NA,P70,fr,bol,0
CogMisp24,NA,P70,fr,papillon,0
CogMisp24,NA,P70,fr,chocolat,1
CogMisp24,NA,P70,fr,biscuit,1
CogMisp24,NA,P70,fr,pied,0
CogMisp24,NA,P70,fr,girafe,0
CogMisp24,NA,P70,fr,singe,0
CogMisp24,NA,P70,fr,bouche,0
CogMisp24,NA,P70,fr,pizza,1
CogMisp24,NA,P70,fr,table,1
CogMisp24,NA,P70,fr,fenetre,0
CogMisp24,NA,P34,en,banana,1
CogMisp24,NA,P34,en,bowl,1
CogMisp24,NA,P34,en,butterfly,1
CogMisp24,NA,P34,en,chocolate,1
CogMisp24,NA,P34,en,cookie,1
CogMisp24,NA,P34,en,foot,1
CogMisp24,NA,P34,en,giraffe,1
CogMisp24,NA,P34,en,monkey,1
CogMisp24,NA,P34,en,mouth,1
CogMisp24,NA,P34,en,pizza,1
CogMisp24,NA,P34,en,table,1
CogMisp24,NA,P34,en,window,1
CogMisp24,NA,P34,fr,banane,1
CogMisp24,NA,P34,fr,bol,1
CogMisp24,NA,P34,fr,papillon,0
CogMisp24,NA,P34,fr,chocolat,1
CogMisp24,NA,P34,fr,biscuit,1
CogMisp24,NA,P34,fr,pied,1
CogMisp24,NA,P34,fr,girafe,1
CogMisp24,NA,P34,fr,singe,0
CogMisp24,NA,P34,fr,bouche,1
CogMisp24,NA,P34,fr,pizza,1
CogMisp24,NA,P34,fr,table,1
CogMisp24,NA,P34,fr,fenetre,0
CogMisp24,NA,P67,en,banana,1
CogMisp24,NA,P67,en,bowl,1
CogMisp24,NA,P67,en,butterfly,0
CogMisp24,NA,P67,en,chocolate,0
CogMisp24,NA,P67,en,cookie,1
CogMisp24,NA,P67,en,foot,1
CogMisp24,NA,P67,en,giraffe,0
CogMisp24,NA,P67,en,monkey,1
CogMisp24,NA,P67,en,mouth,1
CogMisp24,NA,P67,en,pizza,0
CogMisp24,NA,P67,en,table,1
CogMisp24,NA,P67,en,window,1
CogMisp24,NA,P67,fr,banane,1
CogMisp24,NA,P67,fr,bol,1
CogMisp24,NA,P67,fr,papillon,0
CogMisp24,NA,P67,fr,chocolat,0
CogMisp24,NA,P67,fr,biscuit,1
CogMisp24,NA,P67,fr,pied,1
CogMisp24,NA,P67,fr,girafe,0
CogMisp24,NA,P67,fr,singe,0
CogMisp24,NA,P67,fr,bouche,1
CogMisp24,NA,P67,fr,pizza,0
CogMisp24,NA,P67,fr,table,1
CogMisp24,NA,P67,fr,fenetre,1
CogMisp24,NA,P26,en,banana,1
CogMisp24,NA,P26,en,bowl,1
CogMisp24,NA,P26,en,butterfly,1
CogMisp24,NA,P26,en,chocolate,1
CogMisp24,NA,P26,en,cookie,1
CogMisp24,NA,P26,en,foot,1
CogMisp24,NA,P26,en,giraffe,1
CogMisp24,NA,P26,en,monkey,1
CogMisp24,NA,P26,en,mouth,1
CogMisp24,NA,P26,en,pizza,1
CogMisp24,NA,P26,en,table,1
CogMisp24,NA,P26,en,window,1
CogMisp24,NA,P26,fr,banane,1
CogMisp24,NA,P26,fr,bol,1
CogMisp24,NA,P26,fr,papillon,1
CogMisp24,NA,P26,fr,chocolat,1
CogMisp24,NA,P26,fr,biscuit,1
CogMisp24,NA,P26,fr,pied,1
CogMisp24,NA,P26,fr,girafe,1
CogMisp24,NA,P26,fr,singe,1
CogMisp24,NA,P26,fr,bouche,1
CogMisp24,NA,P26,fr,pizza,1
CogMisp24,NA,P26,fr,table,1
CogMisp24,NA,P26,fr,fenetre,1
CogMisp24,NA,P35,en,banana,1
CogMisp24,NA,P35,en,bowl,1
CogMisp24,NA,P35,en,butterfly,1
CogMisp24,NA,P35,en,chocolate,1
CogMisp24,NA,P35,en,cookie,1
CogMisp24,NA,P35,en,foot,1
CogMisp24,NA,P35,en,giraffe,1
CogMisp24,NA,P35,en,monkey,1
CogMisp24,NA,P35,en,mouth,1
CogMisp24,NA,P35,en,pizza,1
CogMisp24,NA,P35,en,table,1
CogMisp24,NA,P35,en,window,1
CogMisp24,NA,P35,fr,banane,1
CogMisp24,NA,P35,fr,bol,0
CogMisp24,NA,P35,fr,papillon,0
CogMisp24,NA,P35,fr,chocolat,1
CogMisp24,NA,P35,fr,biscuit,0
CogMisp24,NA,P35,fr,pied,1
CogMisp24,NA,P35,fr,girafe,1
CogMisp24,NA,P35,fr,singe,0
CogMisp24,NA,P35,fr,bouche,1
CogMisp24,NA,P35,fr,pizza,1
CogMisp24,NA,P35,fr,table,1
CogMisp24,NA,P35,fr,fenetre,0
CogMisp24,NA,P44,en,banana,1
CogMisp24,NA,P44,en,bowl,1
CogMisp24,NA,P44,en,butterfly,1
CogMisp24,NA,P44,en,chocolate,1
CogMisp24,NA,P44,en,cookie,1
CogMisp24,NA,P44,en,foot,1
CogMisp24,NA,P44,en,giraffe,1
CogMisp24,NA,P44,en,monkey,1
CogMisp24,NA,P44,en,mouth,1
CogMisp24,NA,P44,en,pizza,1
CogMisp24,NA,P44,en,table,1
CogMisp24,NA,P44,en,window,1
CogMisp24,NA,P44,fr,banane,1
CogMisp24,NA,P44,fr,bol,1
CogMisp24,NA,P44,fr,papillon,1
CogMisp24,NA,P44,fr,chocolat,1
CogMisp24,NA,P44,fr,biscuit,1
CogMisp24,NA,P44,fr,pied,1
CogMisp24,NA,P44,fr,girafe,1
CogMisp24,NA,P44,fr,singe,0
CogMisp24,NA,P44,fr,bouche,1
CogMisp24,NA,P44,fr,pizza,1
CogMisp24,NA,P44,fr,table,1
CogMisp24,NA,P44,fr,fenetre,0
CogMisp24,NA,P71,en,banana,1
CogMisp24,NA,P71,en,bowl,1
CogMisp24,NA,P71,en,butterfly,0
CogMisp24,NA,P71,en,chocolate,0
CogMisp24,NA,P71,en,cookie,1
CogMisp24,NA,P71,en,foot,1
CogMisp24,NA,P71,en,giraffe,0
CogMisp24,NA,P71,en,monkey,0
CogMisp24,NA,P71,en,mouth,1
CogMisp24,NA,P71,en,pizza,1
CogMisp24,NA,P71,en,table,1
CogMisp24,NA,P71,en,window,1
CogMisp24,NA,P71,fr,banane,1
CogMisp24,NA,P71,fr,bol,0
CogMisp24,NA,P71,fr,papillon,0
CogMisp24,NA,P71,fr,chocolat,0
CogMisp24,NA,P71,fr,biscuit,1
CogMisp24,NA,P71,fr,pied,1
CogMisp24,NA,P71,fr,girafe,0
CogMisp24,NA,P71,fr,singe,0
CogMisp24,NA,P71,fr,bouche,1
CogMisp24,NA,P71,fr,pizza,1
CogMisp24,NA,P71,fr,table,1
CogMisp24,NA,P71,fr,fenetre,1
CogMisp24,NA,P74,en,banana,1
CogMisp24,NA,P74,en,bowl,1
CogMisp24,NA,P74,en,butterfly,1
CogMisp24,NA,P74,en,chocolate,1
CogMisp24,NA,P74,en,cookie,1
CogMisp24,NA,P74,en,foot,1
CogMisp24,NA,P74,en,giraffe,1
CogMisp24,NA,P74,en,monkey,1
CogMisp24,NA,P74,en,mouth,1
CogMisp24,NA,P74,en,pizza,1
CogMisp24,NA,P74,en,table,1
CogMisp24,NA,P74,en,window,1
CogMisp24,NA,P74,fr,banane,1
CogMisp24,NA,P74,fr,bol,1
CogMisp24,NA,P74,fr,papillon,1
CogMisp24,NA,P74,fr,chocolat,0
CogMisp24,NA,P74,fr,biscuit,1
CogMisp24,NA,P74,fr,pied,0
CogMisp24,NA,P74,fr,girafe,0
CogMisp24,NA,P74,fr,singe,0
CogMisp24,NA,P74,fr,bouche,0
CogMisp24,NA,P74,fr,pizza,1
CogMisp24,NA,P74,fr,table,0
CogMisp24,NA,P74,fr,fenetre,0
CogMisp24,NA,P23,en,banana,1
CogMisp24,NA,P23,en,bowl,1
